log(T),C0+,C1+,C2+,C3+,C4+,C5+,C6+
4.00,0.014,1.487,10.947,15.000,15.000,15.000,15.000
4.10,0.203,0.428,7.258,15.000,15.000,15.000,15.000
4.20,0.795,0.076,4.809,15.000,15.000,15.000,15.000
4.30,1.369,0.019,3.125,13.250,15.000,15.000,15.000
4.40,1.768,0.013,1.918,9.615,15.000,15.000,15.000
4.50,2.099,0.043,1.068,6.842,14.727,15.000,15.000
4.60,2.476,0.164,0.508,4.733,10.382,15.000,15.000
4.70,2.970,0.423,0.207,3.170,7.020,15.000,15.000
4.80,3.546,0.778,0.085,2.010,4.404,15.000,15.000
4.90,4.158,1.177,0.068,1.131,2.346,15.000,15.000
5.00,4.905,1.717,0.241,0.583,0.836,15.000,15.000
5.10,6.158,2.769,0.965,0.696,0.162,13.909,15.000
5.20,7.692,4.106,2.006,1.214,0.032,10.883,15.000
5.30,9.120,5.342,2.971,1.730,0.009,8.174,15.000
5.40,10.396,6.429,3.808,2.174,0.003,6.010,14.630
5.50,11.535,7.383,4.530,2.550,0.001,4.269,10.752
5.60,12.549,8.217,5.147,2.859,0.001,2.864,7.625
5.70,13.434,8.927,5.655,3.089,0.008,1.739,5.108
5.80,14.211,9.533,6.070,3.254,0.060,0.895,3.135
5.90,14.984,10.139,6.495,3.453,0.238,0.395,1.715
6.00,15.000,10.838,7.020,3.773,0.578,0.238,0.803
6.10,15.000,11.677,7.693,4.260,1.081,0.369,0.310
6.20,15.000,12.629,8.485,4.882,1.699,0.688,0.111
6.30,15.000,13.591,9.294,5.534,2.325,1.055,0.042
6.40,15.000,14.512,10.067,6.162,2.904,1.401,0.018
6.50,15.000,15.000,10.796,6.753,3.428,1.707,0.009
6.60,15.000,15.000,11.486,7.309,3.902,1.977,0.005
6.70,15.000,15.000,12.141,7.835,4.336,2.215,0.003
6.80,15.000,15.000,12.768,8.335,4.734,2.427,0.002
6.90,15.000,15.000,13.370,8.812,5.102,2.617,0.001
7.00,15.000,15.000,13.951,9.268,5.446,2.791,0.001
7.10,15.000,15.000,14.512,9.707,5.770,2.950,0.000
7.20,15.000,15.000,15.000,10.131,6.076,3.099,0.000
7.30,15.000,15.000,15.000,10.541,6.367,3.239,0.000
7.40,15.000,15.000,15.000,10.940,6.647,3.373,0.000
7.50,15.000,15.000,15.000,11.330,6.918,3.502,0.000
7.60,15.000,15.000,15.000,11.712,7.182,3.629,0.000
7.70,15.000,15.000,15.000,12.089,7.440,3.753,0.000
7.80,15.000,15.000,15.000,12.462,7.695,3.878,0.000
7.90,15.000,15.000,15.000,12.832,7.947,4.002,0.000
8.00,15.000,15.000,15.000,13.200,8.199,4.128,0.000
8.10,15.000,15.000,15.000,13.568,8.450,4.257,0.000
8.20,15.000,15.000,15.000,13.935,8.702,4.388,0.000
8.30,15.000,15.000,15.000,14.304,8.956,4.523,0.000
8.40,15.000,15.000,15.000,14.673,9.211,4.661,0.000
8.50,15.000,15.000,15.000,15.000,9.470,4.804,0.000
8.60,15.000,15.000,15.000,15.000,9.731,4.951,0.000
8.70,15.000,15.000,15.000,15.000,9.996,5.102,0.000
8.80,15.000,15.000,15.000,15.000,10.265,5.258,0.000
8.90,15.000,15.000,15.000,15.000,10.537,5.419,0.000
9.00,15.000,15.000,15.000,15.000,10.813,5.584,0.000
