log(T),Ca0+,Ca1+,Ca2+,Ca3+,Ca4+,Ca5+,Ca6+,Ca7+,Ca8+,Ca9+,Ca10+,Ca11+,Ca12+,Ca13+,Ca14+,Ca15+,Ca16+,Ca17+,Ca18+,Ca19+,Ca20+,
4,1.131,0.04,1.884,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.1,1.734,0.129,0.624,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.2,2.747,0.697,0.098,12.421,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.3,3.945,1.505,0.014,9.346,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.4,5.015,2.23,0.003,6.564,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.5,5.931,2.835,0.001,4.342,11.865,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.6,6.613,3.234,0.001,2.634,7.897,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.7,6.908,3.269,0.013,1.534,5.23,10.863,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.8,7.041,3.158,0.058,0.909,3.559,7.682,14.963,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.9,7.243,3.131,0.158,0.523,2.382,5.401,11.12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,7.571,3.242,0.335,0.296,1.509,3.655,8.098,13.758,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.1,8.034,3.498,0.603,0.212,0.882,2.306,5.698,10.12,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.2,8.647,3.913,0.988,0.283,0.486,1.304,3.822,7.219,11.313,15,15,15,15,15,15,15,15,15,15,15,15,15
5.3,9.445,4.521,1.535,0.546,0.342,0.642,2.426,4.966,8.027,12.408,15,15,15,15,15,15,15,15,15,15,15,15
5.4,10.44,5.331,2.26,1.01,0.447,0.297,1.46,3.278,5.488,8.8,11.544,11.544,15,15,15,15,15,15,15,15,15,15
5.5,11.582,6.29,3.116,1.625,0.74,0.197,0.828,2.032,3.533,5.96,7.713,7.713,15,15,15,15,15,15,15,15,15,15
5.6,12.841,7.369,4.081,2.364,1.188,0.295,0.465,1.143,2.048,3.728,4.671,4.671,10.899,15,15,15,15,15,15,15,15,15
5.7,14.268,8.623,5.211,3.281,1.837,0.631,0.398,0.618,1.013,2.054,2.354,2.354,7.006,12.708,15,15,15,15,15,15,15,15
5.8,15,10.216,6.673,4.541,2.851,1.36,0.77,0.587,0.539,1.021,0.847,0.847,4.254,8.535,13.807,15,15,15,15,15,15,15
5.9,15,12.331,8.654,6.329,4.41,2.658,1.747,1.206,0.767,0.756,0.245,0.245,2.674,5.826,9.807,14.462,15,15,15,15,15,15
6,15,14.618,10.804,8.297,6.163,4.17,2.967,2.102,1.315,0.869,0.102,0.102,1.769,4.029,6.975,10.477,14.681,15,15,15,15,15
6.1,15,15,12.852,10.169,7.833,5.616,4.146,2.986,1.885,1.062,0.083,0.083,1.151,2.707,4.828,7.412,10.588,14.322,15,15,15,15
6.2,15,15,14.785,11.935,9.408,6.981,5.264,3.834,2.451,1.301,0.134,0.134,0.719,1.714,3.181,5.035,7.386,10.187,13.397,15,15,15
6.3,15,15,15,13.651,10.943,8.319,6.373,4.694,3.057,1.624,0.283,0.283,0.466,1.002,1.943,3.215,4.902,6.942,9.324,11.723,15,15
6.4,15,15,15,15,12.523,9.712,7.553,5.645,3.776,2.096,0.59,0.59,0.427,0.577,1.086,1.882,3.029,4.445,6.158,7.837,15,15
6.5,15,15,15,15,14.233,11.246,8.889,6.767,4.688,2.789,1.123,1.123,0.655,0.47,0.614,1.011,1.711,2.612,3.775,4.86,13.344,15
6.6,15,15,15,15,15,12.987,10.442,8.122,5.849,3.753,1.931,1.931,1.188,0.705,0.533,0.588,0.91,1.378,2.084,2.673,9.357,15
6.7,15,15,15,15,15,15,12.286,9.781,7.327,5.051,3.073,3.073,2.08,1.329,0.876,0.632,0.626,0.723,1.042,1.217,6.449,12.516
6.8,15,15,15,15,15,15,14.496,11.816,9.194,6.75,4.618,4.618,3.393,2.397,1.69,1.179,0.884,0.66,0.645,0.478,4.534,9.355
6.9,15,15,15,15,15,15,15,14.041,11.26,8.657,6.373,6.373,4.934,3.709,2.771,2.018,1.463,0.957,0.652,0.207,3.311,7.118
