log(T),H0+,H1+
4.00,0.001,2.751
4.10,0.026,1.240
4.20,0.318,0.285
4.30,1.089,0.037
4.40,1.895,0.006
4.50,2.584,0.001
4.60,3.162,0.000
4.70,3.649,0.000
4.80,4.064,0.000
4.90,4.420,0.000
5.00,4.730,0.000
5.10,5.002,0.000
5.20,5.244,0.000
5.30,5.461,0.000
5.40,5.658,0.000
5.50,5.838,0.000
5.60,6.005,0.000
5.70,6.160,0.000
5.80,6.306,0.000
5.90,6.445,0.000
6.00,6.577,0.000
6.10,6.703,0.000
6.20,6.824,0.000
6.30,6.942,0.000
6.40,7.056,0.000
6.50,7.168,0.000
6.60,7.277,0.000
6.70,7.384,0.000
6.80,7.490,0.000
6.90,7.594,0.000
7.00,7.699,0.000
7.10,7.803,0.000
7.20,7.906,0.000
7.30,8.010,0.000
7.40,8.113,0.000
7.50,8.216,0.000
7.60,8.318,0.000
7.70,8.421,0.000
7.80,8.524,0.000
7.90,8.627,0.000
8.00,8.731,0.000
8.10,8.835,0.000
8.20,8.939,0.000
8.30,9.043,0.000
8.40,9.148,0.000
8.50,9.253,0.000
8.60,9.358,0.000
8.70,9.463,0.000
8.80,9.569,0.000
8.90,9.675,0.000
9.00,9.780,0.000
