log(T),Mg0+,Mg1+,Mg2+,Mg3+,Mg4+,Mg5+,Mg6+,Mg7+,Mg8+,Mg9+,Mg10+,Mg11+,Mg12+
4.00,0.272,0.333,4.014,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.10,0.616,0.125,2.118,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.20,1.093,0.129,0.754,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.30,1.991,0.614,0.127,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.40,3.156,1.413,0.017,12.784,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.50,4.215,2.146,0.003,9.795,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.60,5.125,2.761,0.001,7.040,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.70,5.904,3.273,0.000,4.844,13.296,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.80,6.567,3.689,0.000,3.124,9.250,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.90,7.097,3.992,0.006,1.836,6.171,13.637,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.00,7.488,4.171,0.054,0.930,3.891,9.485,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.10,7.864,4.350,0.236,0.383,2.268,6.370,12.364,15.000,15.000,15.000,15.000,15.000,15.000
5.20,8.367,4.668,0.603,0.164,1.185,4.080,8.509,14.650,15.000,15.000,15.000,15.000,15.000
5.30,9.034,5.161,1.133,0.207,0.520,2.424,5.592,10.209,15.000,15.000,15.000,15.000,15.000
5.40,9.892,5.852,1.832,0.489,0.214,1.298,3.440,6.820,11.419,15.000,15.000,15.000,15.000
5.50,10.919,6.721,2.677,0.970,0.201,0.604,1.907,4.276,7.679,12.197,15.000,15.000,15.000
5.60,12.125,7.777,3.681,1.652,0.461,0.296,0.914,2.454,4.872,8.185,11.548,15.000,15.000
5.70,13.533,9.039,4.868,2.548,0.990,0.351,0.405,1.264,2.866,5.193,7.480,15.000,15.000
5.80,15.000,10.487,6.220,3.633,1.754,0.711,0.299,0.594,1.517,3.036,4.444,15.000,15.000
5.90,15.000,12.108,7.732,4.898,2.730,1.342,0.537,0.360,0.714,1.569,2.255,12.993,15.000
6.00,15.000,13.985,9.487,6.423,3.994,2.302,1.158,0.583,0.456,0.761,0.851,9.171,15.000
6.10,15.000,15.000,11.615,8.334,5.665,3.703,2.262,1.343,0.806,0.651,0.244,6.620,14.358
6.20,15.000,15.000,13.847,10.360,7.468,5.262,3.556,2.335,1.445,0.899,0.079,4.887,10.894
6.30,15.000,15.000,15.000,12.238,9.138,6.710,4.763,3.273,2.073,1.191,0.033,3.575,8.182
6.40,15.000,15.000,15.000,13.913,10.618,7.983,5.816,4.083,2.609,1.434,0.019,2.541,6.013
6.50,15.000,15.000,15.000,15.000,11.912,9.085,6.715,4.760,3.041,1.611,0.020,1.728,4.274
6.60,15.000,15.000,15.000,15.000,13.064,10.057,7.495,5.335,3.397,1.746,0.044,1.110,2.898
6.70,15.000,15.000,15.000,15.000,14.144,10.965,8.224,5.873,3.737,1.894,0.118,0.677,1.838
6.80,15.000,15.000,15.000,15.000,15.000,11.884,8.973,6.442,4.124,2.113,0.274,0.427,1.067
6.90,15.000,15.000,15.000,15.000,15.000,12.871,9.799,7.098,4.612,2.450,0.544,0.360,0.562
7.00,15.000,15.000,15.000,15.000,15.000,13.938,10.711,7.848,5.205,2.904,0.921,0.450,0.281
7.10,15.000,15.000,15.000,15.000,15.000,15.000,11.667,8.649,5.858,3.425,1.355,0.629,0.142
7.20,15.000,15.000,15.000,15.000,15.000,15.000,12.620,9.453,6.521,3.960,1.794,0.838,0.076
7.30,15.000,15.000,15.000,15.000,15.000,15.000,13.549,10.239,7.171,4.484,2.214,1.046,0.044
