log(T),N0+,N1+,N2+,N3+,N4+,N5+,N6+,N7+
4.00,0.000,3.390,14.613,15.000,15.000,15.000,15.000,15.000
4.10,0.008,1.746,10.223,15.000,15.000,15.000,15.000,15.000
4.20,0.140,0.559,6.507,15.000,15.000,15.000,15.000,15.000
4.30,0.680,0.102,4.089,13.747,15.000,15.000,15.000,15.000
4.40,1.290,0.024,2.554,9.663,15.000,15.000,15.000,15.000
4.50,1.758,0.023,1.476,6.596,15.000,15.000,15.000,15.000
4.60,2.180,0.095,0.722,4.316,12.687,15.000,15.000,15.000
4.70,2.690,0.318,0.288,2.706,9.065,15.000,15.000,15.000
4.80,3.304,0.681,0.116,1.605,6.337,11.980,15.000,15.000
4.90,3.974,1.121,0.107,0.844,4.249,8.163,15.000,15.000
5.00,4.725,1.655,0.259,0.372,2.685,5.202,15.000,15.000
5.10,5.580,2.302,0.571,0.156,1.565,2.948,15.000,15.000
5.20,6.535,3.054,1.023,0.157,0.811,1.269,15.000,15.000
5.30,7.836,4.156,1.854,0.595,0.612,0.312,12.862,15.000
5.40,9.546,5.672,3.118,1.513,0.988,0.063,9.758,15.000
5.50,11.219,7.154,4.366,2.452,1.462,0.017,7.312,15.000
5.60,12.731,8.480,5.471,3.279,1.886,0.006,5.370,12.795
5.70,14.087,9.655,6.436,3.990,2.244,0.003,3.809,9.381
5.80,15.000,10.686,7.268,4.587,2.529,0.003,2.550,6.627
5.90,15.000,11.569,7.960,5.062,2.725,0.013,1.553,4.418
6.00,15.000,12.343,8.552,5.450,2.864,0.072,0.825,2.705
6.10,15.000,13.118,9.150,5.858,3.047,0.243,0.404,1.476
6.20,15.000,13.984,9.848,6.376,3.364,0.566,0.281,0.689
6.30,15.000,14.988,10.690,7.049,3.855,1.052,0.419,0.275
6.40,15.000,15.000,11.624,7.823,4.464,1.635,0.712,0.106
6.50,15.000,15.000,12.558,8.605,5.095,2.220,1.040,0.044
6.60,15.000,15.000,13.453,9.354,5.702,2.762,1.349,0.021
6.70,15.000,15.000,14.303,10.064,6.277,3.257,1.627,0.011
6.80,15.000,15.000,15.000,10.737,6.819,3.707,1.873,0.006
6.90,15.000,15.000,15.000,11.379,7.334,4.121,2.092,0.004
7.00,15.000,15.000,15.000,11.994,7.823,4.502,2.288,0.002
7.10,15.000,15.000,15.000,12.586,8.290,4.856,2.467,0.001
7.20,15.000,15.000,15.000,13.157,8.739,5.188,2.630,0.001
7.30,15.000,15.000,15.000,13.711,9.170,5.501,2.782,0.001
7.40,15.000,15.000,15.000,14.248,9.587,5.798,2.925,0.001
7.50,15.000,15.000,15.000,14.773,9.991,6.082,3.061,0.000
7.60,15.000,15.000,15.000,15.000,10.385,6.356,3.191,0.000
7.70,15.000,15.000,15.000,15.000,10.771,6.622,3.318,0.000
7.80,15.000,15.000,15.000,15.000,11.150,6.882,3.443,0.000
7.90,15.000,15.000,15.000,15.000,11.524,7.137,3.568,0.000
8.00,15.000,15.000,15.000,15.000,11.895,7.390,3.692,0.000
8.10,15.000,15.000,15.000,15.000,12.264,7.641,3.818,0.000
8.20,15.000,15.000,15.000,15.000,12.631,7.892,3.945,0.000
8.30,15.000,15.000,15.000,15.000,12.998,8.143,4.076,0.000
8.40,15.000,15.000,15.000,15.000,13.366,8.395,4.209,0.000
8.50,15.000,15.000,15.000,15.000,13.735,8.649,4.346,0.000
8.60,15.000,15.000,15.000,15.000,14.106,8.906,4.487,0.000
8.70,15.000,15.000,15.000,15.000,14.479,9.166,4.633,0.000
8.80,15.000,15.000,15.000,15.000,14.855,9.429,4.783,0.000
8.90,15.000,15.000,15.000,15.000,15.000,9.696,4.937,0.000
9.00,15.000,15.000,15.000,15.000,15.000,9.966,5.096,0.000
