log(T),O0+,O1+,O2+,O3+,O4+,O5+,O6+,O7+,O8+
4.00,0.000,2.959,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.10,0.017,1.409,12.192,15.000,15.000,15.000,15.000,15.000,15.000
4.20,0.244,0.367,8.276,15.000,15.000,15.000,15.000,15.000,15.000
4.30,0.910,0.057,5.558,15.000,15.000,15.000,15.000,15.000,15.000
4.40,1.510,0.014,3.616,11.944,15.000,15.000,15.000,15.000,15.000
4.50,1.890,0.009,2.183,8.206,15.000,15.000,15.000,15.000,15.000
4.60,2.188,0.033,1.173,5.441,13.325,15.000,15.000,15.000,15.000
4.70,2.550,0.158,0.521,3.452,9.310,15.000,15.000,15.000,15.000
4.80,3.070,0.453,0.195,2.077,6.346,14.286,15.000,15.000,15.000
4.90,3.714,0.876,0.100,1.135,4.149,10.184,15.000,15.000,15.000
5.00,4.459,1.404,0.183,0.521,2.527,7.014,12.023,15.000,15.000
5.10,5.341,2.069,0.460,0.218,1.402,4.623,8.080,15.000,15.000
5.20,6.346,2.862,0.907,0.178,0.680,2.860,5.061,15.000,15.000
5.30,7.468,3.774,1.507,0.362,0.294,1.611,2.790,15.000,15.000
5.40,8.727,4.828,2.278,0.773,0.219,0.816,1.160,14.593,15.000
5.50,10.345,6.245,3.434,1.612,0.640,0.632,0.290,10.978,15.000
5.60,12.288,7.993,4.940,2.834,1.497,0.976,0.065,8.208,15.000
5.70,14.153,9.668,6.389,4.025,2.365,1.404,0.019,6.116,14.110
5.80,15.000,11.174,7.681,5.080,3.130,1.788,0.007,4.454,10.530
5.90,15.000,12.511,8.816,5.995,3.782,2.106,0.004,3.117,7.646
6.00,15.000,13.682,9.793,6.765,4.310,2.340,0.006,2.047,5.323
6.10,15.000,14.696,10.622,7.399,4.720,2.489,0.029,1.221,3.479
6.20,15.000,15.000,11.377,7.969,5.081,2.619,0.115,0.655,2.080
6.30,15.000,15.000,12.164,8.578,5.496,2.830,0.315,0.361,1.100
6.40,15.000,15.000,13.061,9.307,6.041,3.197,0.669,0.329,0.500
6.50,15.000,15.000,14.082,10.165,6.728,3.724,1.168,0.510,0.206
6.60,15.000,15.000,15.000,11.076,7.478,4.329,1.724,0.791,0.087
6.70,15.000,15.000,15.000,11.972,8.220,4.936,2.265,1.086,0.040
6.80,15.000,15.000,15.000,12.828,8.932,5.518,2.767,1.360,0.020
6.90,15.000,15.000,15.000,13.646,9.609,6.070,3.226,1.607,0.011
7.00,15.000,15.000,15.000,14.427,10.256,6.593,3.647,1.828,0.007
7.10,15.000,15.000,15.000,15.000,10.875,7.090,4.035,2.027,0.004
7.20,15.000,15.000,15.000,15.000,11.471,7.564,4.395,2.208,0.003
7.30,15.000,15.000,15.000,15.000,12.047,8.017,4.732,2.373,0.002
7.40,15.000,15.000,15.000,15.000,12.603,8.453,5.049,2.527,0.001
7.50,15.000,15.000,15.000,15.000,13.144,8.873,5.349,2.671,0.001
7.60,15.000,15.000,15.000,15.000,13.671,9.279,5.635,2.807,0.001
7.70,15.000,15.000,15.000,15.000,14.186,9.675,5.910,2.939,0.001
7.80,15.000,15.000,15.000,15.000,14.691,10.062,6.177,3.066,0.000
7.90,15.000,15.000,15.000,15.000,15.000,10.442,6.437,3.191,0.000
8.00,15.000,15.000,15.000,15.000,15.000,10.816,6.692,3.316,0.000
8.10,15.000,15.000,15.000,15.000,15.000,11.187,6.945,3.440,0.000
8.20,15.000,15.000,15.000,15.000,15.000,11.555,7.195,3.565,0.000
8.30,15.000,15.000,15.000,15.000,15.000,11.922,7.445,3.693,0.000
8.40,15.000,15.000,15.000,15.000,15.000,12.288,7.695,3.822,0.000
8.50,15.000,15.000,15.000,15.000,15.000,12.655,7.947,3.955,0.000
8.60,15.000,15.000,15.000,15.000,15.000,13.023,8.200,4.092,0.000
8.70,15.000,15.000,15.000,15.000,15.000,13.392,8.455,4.232,0.000
8.80,15.000,15.000,15.000,15.000,15.000,13.764,8.714,4.377,0.000
8.90,15.000,15.000,15.000,15.000,15.000,14.139,8.975,4.526,0.000
9.00,15.000,15.000,15.000,15.000,15.000,14.517,9.241,4.680,0.000
