log(T),H0+,H1+,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.001,2.751,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,0.026,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,0.318,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,1.089,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,1.895,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,3.162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,3.649,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8,4.064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,4.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,5.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,5.244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,5.461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,5.658,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,5.838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,6.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,6.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,6.306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,6.445,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.577,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,6.703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,6.824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,6.942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,7.056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,7.168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,7.277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,7.384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,7.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,7.594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,7.803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,7.906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,8.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,8.113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,8.216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,8.318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,8.421,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8,8.524,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,8.627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.731,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
