Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Helium
================================================================================
Byte-by-byte Description of file: datafile1B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     He{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     He{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     He{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     He{CIE}       CIE Cooling efficiency (column 5)
--------------------------------------------------------------------------------
1.00e+04 2.84e-29 6.40e-25 3.16e-24 2.84e-29
1.05e+04 8.21e-29 6.51e-25 3.21e-24 8.21e-29
1.10e+04 2.25e-28 6.62e-25 3.27e-24 2.25e-28
1.16e+04 6.03e-28 6.73e-25 3.32e-24 6.03e-28
1.22e+04 1.53e-27 6.84e-25 3.38e-24 1.53e-27
1.28e+04 3.72e-27 6.96e-25 3.43e-24 3.72e-27
1.34e+04 8.69e-27 7.07e-25 3.49e-24 8.69e-27
1.41e+04 1.97e-26 7.19e-25 3.55e-24 1.98e-26
1.48e+04 4.35e-26 7.32e-25 3.61e-24 4.35e-26
1.55e+04 9.18e-26 7.44e-25 3.67e-24 9.18e-26
1.63e+04 1.88e-25 7.56e-25 3.73e-24 1.88e-25
1.71e+04 3.74e-25 7.69e-25 3.79e-24 3.74e-25
1.80e+04 7.22e-25 7.82e-25 3.85e-24 7.22e-25
1.89e+04 1.36e-24 7.96e-25 3.92e-24 1.35e-24
1.99e+04 2.48e-24 8.11e-25 3.98e-24 2.47e-24
2.09e+04 4.42e-24 8.25e-25 4.05e-24 4.37e-24
2.20e+04 7.68e-24 8.40e-25 4.12e-24 7.48e-24
2.31e+04 1.30e-23 8.56e-25 4.19e-24 1.23e-23
2.43e+04 2.14e-23 8.73e-25 4.26e-24 1.93e-23
2.56e+04 3.46e-23 8.94e-25 4.33e-24 2.84e-23
2.69e+04 5.47e-23 9.22e-25 4.40e-24 3.90e-23
2.83e+04 8.47e-23 9.66e-25 4.48e-24 4.89e-23
2.98e+04 1.28e-22 1.04e-24 4.55e-24 5.61e-23
3.14e+04 1.91e-22 1.19e-24 4.62e-24 5.96e-23
3.30e+04 2.80e-22 1.46e-24 4.70e-24 5.98e-23
3.47e+04 4.04e-22 1.97e-24 4.78e-24 5.79e-23
3.65e+04 5.74e-22 2.92e-24 4.86e-24 5.50e-23
3.84e+04 8.02e-22 4.60e-24 4.94e-24 5.24e-23
4.04e+04 1.10e-21 7.52e-24 5.03e-24 5.10e-23
4.26e+04 1.49e-21 1.24e-23 5.11e-24 5.19e-23
4.48e+04 1.99e-21 2.05e-23 5.19e-24 5.63e-23
4.71e+04 2.63e-21 3.35e-23 5.28e-24 6.59e-23
4.96e+04 3.43e-21 5.36e-23 5.36e-24 8.30e-23
5.22e+04 4.41e-21 8.42e-23 5.45e-24 1.10e-22
5.49e+04 5.61e-21 1.30e-22 5.53e-24 1.52e-22
5.78e+04 7.08e-21 1.96e-22 5.62e-24 2.11e-22
6.08e+04 8.87e-21 2.90e-22 5.72e-24 2.91e-22
6.40e+04 1.10e-20 4.20e-22 5.81e-24 3.92e-22
6.74e+04 1.35e-20 5.99e-22 5.91e-24 5.08e-22
7.09e+04 1.64e-20 8.39e-22 6.00e-24 6.25e-22
7.46e+04 1.98e-20 1.16e-21 6.10e-24 7.26e-22
7.86e+04 2.37e-20 1.57e-21 6.19e-24 7.93e-22
8.27e+04 2.81e-20 2.10e-21 6.29e-24 8.19e-22
8.70e+04 3.31e-20 2.76e-21 6.39e-24 8.05e-22
9.16e+04 3.87e-20 3.59e-21 6.49e-24 7.63e-22
9.64e+04 4.49e-20 4.61e-21 6.59e-24 7.05e-22
1.02e+05 5.20e-20 5.85e-21 6.69e-24 6.40e-22
1.07e+05 5.99e-20 7.32e-21 6.80e-24 5.75e-22
1.12e+05 6.87e-20 9.07e-21 6.91e-24 5.13e-22
1.18e+05 7.82e-20 1.11e-20 7.01e-24 4.57e-22
1.24e+05 8.86e-20 1.35e-20 7.12e-24 4.07e-22
1.31e+05 9.99e-20 1.63e-20 7.24e-24 3.63e-22
1.38e+05 1.12e-19 1.94e-20 7.35e-24 3.24e-22
1.45e+05 1.25e-19 2.30e-20 7.46e-24 2.90e-22
1.53e+05 1.39e-19 2.69e-20 7.57e-24 2.60e-22
1.61e+05 1.53e-19 3.14e-20 7.68e-24 2.33e-22
1.69e+05 1.69e-19 3.64e-20 7.80e-24 2.10e-22
1.78e+05 1.85e-19 4.18e-20 7.91e-24 1.90e-22
1.88e+05 2.03e-19 4.76e-20 8.03e-24 1.73e-22
1.98e+05 2.22e-19 5.41e-20 8.16e-24 1.57e-22
2.08e+05 2.42e-19 6.10e-20 8.28e-24 1.43e-22
2.19e+05 2.62e-19 6.84e-20 8.41e-24 1.31e-22
2.30e+05 2.84e-19 7.65e-20 8.53e-24 1.20e-22
2.42e+05 3.06e-19 8.49e-20 8.66e-24 1.11e-22
2.55e+05 3.29e-19 9.38e-20 8.78e-24 1.02e-22
2.69e+05 3.52e-19 1.03e-19 8.91e-24 9.43e-23
2.83e+05 3.76e-19 1.13e-19 9.04e-24 8.74e-23
2.98e+05 4.00e-19 1.24e-19 9.17e-24 8.12e-23
3.13e+05 4.25e-19 1.34e-19 9.29e-24 7.56e-23
3.30e+05 4.52e-19 1.46e-19 9.43e-24 7.06e-23
3.47e+05 4.80e-19 1.57e-19 9.57e-24 6.61e-23
3.66e+05 5.08e-19 1.69e-19 9.71e-24 6.20e-23
3.85e+05 5.36e-19 1.82e-19 9.85e-24 5.83e-23
4.05e+05 5.65e-19 1.94e-19 1.00e-23 5.49e-23
4.26e+05 5.93e-19 2.07e-19 1.01e-23 5.18e-23
4.49e+05 6.22e-19 2.20e-19 1.03e-23 4.91e-23
4.72e+05 6.51e-19 2.34e-19 1.04e-23 4.65e-23
4.97e+05 6.80e-19 2.48e-19 1.06e-23 4.42e-23
5.23e+05 7.09e-19 2.59e-19 1.07e-23 4.18e-23
5.51e+05 7.38e-19 2.70e-19 1.09e-23 3.95e-23
5.80e+05 7.62e-19 2.82e-19 1.10e-23 3.75e-23
6.10e+05 7.84e-19 2.93e-19 1.12e-23 3.57e-23
6.43e+05 8.06e-19 3.04e-19 1.13e-23 3.41e-23
6.76e+05 8.28e-19 3.14e-19 1.15e-23 3.26e-23
7.12e+05 8.49e-19 3.25e-19 1.17e-23 3.13e-23
7.49e+05 8.70e-19 3.35e-19 1.18e-23 3.00e-23
7.89e+05 8.91e-19 3.46e-19 1.20e-23 2.89e-23
8.30e+05 9.11e-19 3.56e-19 1.21e-23 2.79e-23
8.74e+05 9.30e-19 3.66e-19 1.23e-23 2.70e-23
9.20e+05 9.50e-19 3.76e-19 1.25e-23 2.61e-23
9.69e+05 9.69e-19 3.85e-19 1.26e-23 2.54e-23
1.02e+06 9.87e-19 3.95e-19 1.28e-23 2.47e-23
1.07e+06 1.00e-18 4.04e-19 1.30e-23 2.41e-23
1.13e+06 1.02e-18 4.12e-19 1.32e-23 2.36e-23
1.19e+06 1.04e-18 4.21e-19 1.34e-23 2.31e-23
1.25e+06 1.05e-18 4.29e-19 1.36e-23 2.26e-23
1.32e+06 1.07e-18 4.37e-19 1.38e-23 2.22e-23
1.39e+06 1.08e-18 4.45e-19 1.40e-23 2.19e-23
1.46e+06 1.10e-18 4.52e-19 1.42e-23 2.16e-23
1.54e+06 1.11e-18 4.59e-19 1.44e-23 2.13e-23
1.62e+06 1.12e-18 4.66e-19 1.46e-23 2.11e-23
1.70e+06 1.13e-18 4.73e-19 1.48e-23 2.09e-23
1.79e+06 1.14e-18 4.79e-19 1.50e-23 2.07e-23
1.89e+06 1.15e-18 4.85e-19 1.52e-23 2.06e-23
1.99e+06 1.16e-18 4.90e-19 1.54e-23 2.05e-23
2.09e+06 1.17e-18 4.95e-19 1.57e-23 2.04e-23
2.20e+06 1.18e-18 5.00e-19 1.59e-23 2.03e-23
2.32e+06 1.19e-18 5.04e-19 1.61e-23 2.03e-23
2.44e+06 1.19e-18 5.09e-19 1.64e-23 2.03e-23
2.57e+06 1.20e-18 5.12e-19 1.66e-23 2.03e-23
2.70e+06 1.20e-18 5.16e-19 1.69e-23 2.03e-23
2.84e+06 1.20e-18 5.19e-19 1.71e-23 2.03e-23
2.99e+06 1.21e-18 5.22e-19 1.74e-23 2.04e-23
3.15e+06 1.21e-18 5.24e-19 1.76e-23 2.05e-23
3.32e+06 1.21e-18 5.26e-19 1.79e-23 2.06e-23
3.49e+06 1.21e-18 5.28e-19 1.82e-23 2.07e-23
3.68e+06 1.21e-18 5.29e-19 1.85e-23 2.09e-23
3.87e+06 1.20e-18 5.30e-19 1.88e-23 2.11e-23
4.07e+06 1.20e-18 5.31e-19 1.92e-23 2.12e-23
