Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
1.00e+04 1.53e-19 1.77e-25 3.27e-24 8.50e-24 4.31e-22
1.05e+04 1.73e-19 1.82e-25 3.32e-24 8.63e-24 3.42e-22
1.10e+04 1.95e-19 1.87e-25 3.37e-24 8.77e-24 2.75e-22
1.16e+04 2.19e-19 1.92e-25 3.42e-24 8.91e-24 2.21e-22
1.22e+04 2.44e-19 1.98e-25 3.47e-24 9.06e-24 1.80e-22
1.28e+04 2.72e-19 2.03e-25 3.52e-24 9.20e-24 1.48e-22
1.34e+04 3.01e-19 2.09e-25 3.58e-24 9.35e-24 1.22e-22
1.41e+04 3.33e-19 2.14e-25 3.63e-24 9.50e-24 1.01e-22
1.48e+04 3.66e-19 2.20e-25 3.68e-24 9.65e-24 8.43e-23
1.55e+04 4.02e-19 2.26e-25 3.74e-24 9.80e-24 7.09e-23
1.63e+04 4.40e-19 2.32e-25 3.80e-24 9.96e-24 6.00e-23
1.71e+04 4.80e-19 2.38e-25 3.85e-24 1.01e-23 5.10e-23
1.80e+04 5.22e-19 2.45e-25 3.91e-24 1.03e-23 4.36e-23
1.89e+04 5.66e-19 2.52e-25 3.97e-24 1.05e-23 3.75e-23
1.99e+04 6.13e-19 2.59e-25 4.03e-24 1.06e-23 3.24e-23
2.09e+04 6.61e-19 2.67e-25 4.10e-24 1.08e-23 2.81e-23
2.20e+04 7.12e-19 2.75e-25 4.16e-24 1.10e-23 2.45e-23
2.31e+04 7.64e-19 2.82e-25 4.22e-24 1.12e-23 2.15e-23
2.43e+04 8.18e-19 2.90e-25 4.29e-24 1.13e-23 1.89e-23
2.56e+04 8.74e-19 2.99e-25 4.35e-24 1.15e-23 1.67e-23
2.69e+04 9.32e-19 3.07e-25 4.42e-24 1.17e-23 1.49e-23
2.83e+04 9.91e-19 3.16e-25 4.49e-24 1.19e-23 1.32e-23
2.98e+04 1.05e-18 3.24e-25 4.55e-24 1.21e-23 1.19e-23
3.14e+04 1.11e-18 3.33e-25 4.62e-24 1.23e-23 1.07e-23
3.30e+04 1.18e-18 3.44e-25 4.69e-24 1.25e-23 9.63e-24
3.47e+04 1.24e-18 3.55e-25 4.77e-24 1.27e-23 8.73e-24
3.65e+04 1.31e-18 3.69e-25 4.84e-24 1.29e-23 7.93e-24
3.84e+04 1.38e-18 3.89e-25 4.92e-24 1.31e-23 7.24e-24
4.04e+04 1.44e-18 4.21e-25 4.99e-24 1.33e-23 6.65e-24
4.26e+04 1.51e-18 4.79e-25 5.07e-24 1.35e-23 6.16e-24
4.48e+04 1.58e-18 5.94e-25 5.15e-24 1.38e-23 5.78e-24
4.71e+04 1.65e-18 8.20e-25 5.23e-24 1.40e-23 5.57e-24
4.96e+04 1.72e-18 1.26e-24 5.31e-24 1.42e-23 5.62e-24
5.22e+04 1.79e-18 2.10e-24 5.39e-24 1.44e-23 6.11e-24
5.49e+04 1.86e-18 3.65e-24 5.47e-24 1.47e-23 7.34e-24
5.78e+04 1.92e-18 6.41e-24 5.56e-24 1.49e-23 9.82e-24
6.08e+04 1.99e-18 1.12e-23 5.66e-24 1.52e-23 1.44e-23
6.40e+04 2.06e-18 1.93e-23 5.78e-24 1.54e-23 2.22e-23
6.74e+04 2.13e-18 3.25e-23 5.94e-24 1.56e-23 3.51e-23
7.09e+04 2.19e-18 5.35e-23 6.16e-24 1.59e-23 5.55e-23
7.46e+04 2.26e-18 8.60e-23 6.51e-24 1.61e-23 8.68e-23
7.86e+04 2.32e-18 1.35e-22 7.11e-24 1.64e-23 1.33e-22
8.27e+04 2.39e-18 2.08e-22 8.15e-24 1.67e-23 1.97e-22
8.70e+04 2.45e-18 3.13e-22 9.92e-24 1.69e-23 2.80e-22
9.16e+04 2.51e-18 4.61e-22 1.29e-23 1.72e-23 3.80e-22
9.64e+04 2.57e-18 6.66e-22 1.79e-23 1.74e-23 4.87e-22
1.02e+05 2.62e-18 9.47e-22 2.61e-23 1.77e-23 5.88e-22
1.07e+05 2.68e-18 1.32e-21 3.89e-23 1.80e-23 6.66e-22
1.12e+05 2.73e-18 1.80e-21 5.87e-23 1.83e-23 7.17e-22
1.18e+05 2.78e-18 2.43e-21 8.86e-23 1.86e-23 7.47e-22
