log(T),Ar0+ ,Ar1+,Ar2+,Ar3+,Ar4+,Ar5+,Ar6+,Ar7+,Ar8+,Ar9+,Ar10+,Ar11+,Ar12+,Ar13+,Ar14+,Ar15+,Ar16+,Ar17+,Ar18+
4,0,3.459,13.305,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.1,0.009,1.693,8.681,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.2,0.197,0.439,5.025,14.395,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.3,0.984,0.049,2.7,9.243,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.4,1.939,0.039,1.133,5.405,14.578,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.5,3.053,0.365,0.247,2.759,9.717,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.6,4.288,1.005,0.065,1.4,6.732,14.248,15,15,15,15,15,15,15,15,15,15,15,15,15
4.7,5.172,1.527,0.109,0.718,4.78,10.658,15,15,15,15,15,15,15,15,15,15,15,15,15
4.8,5.816,1.997,0.265,0.35,3.385,7.943,14.178,15,15,15,15,15,15,15,15,15,15,15,15
4.9,6.411,2.495,0.51,0.165,2.356,5.832,10.556,15,15,15,15,15,15,15,15,15,15,15,15
5,7.018,3.013,0.804,0.089,1.576,4.155,7.674,13.293,15,15,15,15,15,15,15,15,15,15,15
5.1,7.65,3.546,1.128,0.087,0.978,2.808,5.351,9.65,13.685,15,15,15,15,15,15,15,15,15,15
5.2,8.338,4.123,1.507,0.173,0.554,1.751,3.494,6.709,9.446,15,15,15,15,15,15,15,15,15,15
5.3,9.137,4.797,1.991,0.39,0.328,0.984,2.062,4.381,6.065,15,15,15,15,15,15,15,15,15,15
5.4,10.108,5.634,2.642,0.796,0.343,0.534,1.051,2.622,3.445,10.313,15,15,15,15,15,15,15,15,15
5.5,11.324,6.709,3.539,1.464,0.664,0.447,0.487,1.424,1.55,6.64,13.187,15,15,15,15,15,15,15,15
5.6,12.932,8.172,4.83,2.541,1.429,0.851,0.477,0.866,0.457,4.144,9.059,15,15,15,15,15,15,15,15
5.7,14.946,10.037,6.528,4.036,2.64,1.741,1.002,0.91,0.122,2.7,6.308,10.985,15,15,15,15,15,15,15
5.8,15,11.901,8.226,5.541,3.885,2.693,1.629,1.108,0.056,1.76,4.323,7.792,11.975,15,15,15,15,15,15
5.9,15,13.647,9.808,6.94,5.042,3.583,2.226,1.323,0.065,1.082,2.814,5.31,8.397,12.285,15,15,15,15,15
6,15,15,11.321,8.278,6.156,4.45,2.824,1.583,0.147,0.621,1.694,3.412,5.625,8.512,12.021,15,15,15,15
6.1,15,15,12.839,9.628,7.295,5.361,3.49,1.95,0.35,0.383,0.928,2.025,3.543,5.625,8.217,11.232,14.299,15,15
6.2,15,15,14.434,11.063,8.532,6.385,4.288,2.484,0.727,0.391,0.503,1.1,2.061,3.495,5.335,7.53,9.722,15,15
6.3,15,15,15,12.637,9.92,7.574,5.268,3.23,1.319,0.663,0.41,0.594,1.1,2.007,3.228,4.757,6.23,15,15
6.4,15,15,15,14.385,11.491,8.958,6.459,4.21,2.145,1.206,0.637,0.469,0.594,1.063,1.771,2.755,3.634,12.027,15
6.5,15,15,15,15,13.284,10.575,7.895,5.454,3.236,2.041,1.191,0.718,0.513,0.612,0.888,1.418,1.802,8.376,15
6.6,15,15,15,15,15,12.525,9.675,7.057,4.686,3.256,2.153,1.407,0.913,0.691,0.597,0.742,0.714,5.82,11.816
