log(T),Fe0+,Fe1+,Fe2+,Fe3+,Fe4+,Fe5+,Fe6+,Fe7+,Fe8+,Fe9+,Fe10+,Fe11+,Fe12+,Fe13+,Fe14+,Fe15+,Fe16+,Fe17+,Fe18+,Fe19+,Fe20+,Fe21+,Fe22+,Fe23+,Fe24+,Fe25+,Fe26+
4,0.901,0.058,4.016,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.1,1.416,0.02,2.172,10.829,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.2,1.932,0.085,0.781,6.792,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.3,2.825,0.587,0.131,4.017,14.447,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.4,3.877,1.291,0.026,2.2,9.715,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.5,4.692,1.794,0.07,0.879,5.95,14.727,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.6,5.58,2.399,0.412,0.216,3.337,9.594,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.7,6.502,3.061,0.881,0.072,1.699,5.924,13.063,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.8,7.319,3.639,1.291,0.12,0.723,3.326,8.332,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4.9,8.194,4.29,1.787,0.347,0.29,1.671,5.119,10.228,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,9.169,5.056,2.405,0.726,0.197,0.764,3.114,6.561,13.158,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.1,10.239,5.927,3.132,1.227,0.319,0.349,1.88,4.149,9.077,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.2,11.367,6.865,3.926,1.804,0.575,0.2,1.075,2.526,6.144,13.002,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.3,12.564,7.879,4.795,2.464,0.953,0.239,0.57,1.405,4,9.299,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.4,13.89,9.028,5.795,3.263,1.5,0.489,0.357,0.696,2.489,6.546,11.387,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.5,15,10.326,6.942,4.214,2.222,0.945,0.412,0.336,1.49,4.547,8.251,12.743,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.6,15,11.714,8.176,5.259,3.053,1.534,0.65,0.218,0.852,3.093,5.872,9.319,13.388,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5.7,15,13.149,9.456,6.355,3.949,2.205,1.008,0.266,0.464,2.029,4.047,6.635,9.722,13.346,15,15,15,15,15,15,15,15,15,15,15,15,15
