log(T),Si0+,Si1+,Si2+,Si3+,Si4+,Si5+,Si6+,Si7+,Si8+,Si9+,Si10+,Si11+,Si12+,Si13+,Si14+
4.00,0.638,0.113,4.786,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.10,1.435,0.017,2.955,13.766,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.20,2.109,0.014,1.627,9.882,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.30,2.645,0.089,0.739,6.960,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.40,3.180,0.323,0.281,4.929,11.328,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.50,3.749,0.670,0.105,3.499,7.915,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.60,4.299,1.030,0.044,2.420,5.235,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.70,4.820,1.372,0.032,1.567,3.088,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.80,5.359,1.737,0.086,0.920,1.390,12.195,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.90,6.196,2.402,0.473,0.718,0.330,8.432,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.00,7.543,3.578,1.400,1.142,0.052,5.929,14.241,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.10,8.904,4.771,2.366,1.675,0.011,4.161,10.346,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.20,10.094,5.794,3.183,2.114,0.004,2.814,7.331,14.010,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.30,11.088,6.621,3.820,2.418,0.009,1.766,4.957,9.988,15.000,15.000,15.000,15.000,15.000,15.000,15.000
5.40,11.935,7.303,4.318,2.617,0.051,0.968,3.091,6.783,11.810,15.000,15.000,15.000,15.000,15.000,15.000
5.50,12.788,7.992,4.825,2.854,0.208,0.445,1.701,4.301,7.990,12.847,15.000,15.000,15.000,15.000,15.000
5.60,13.794,8.834,5.494,3.277,0.565,0.248,0.799,2.502,5.112,8.718,13.344,15.000,15.000,15.000,15.000
5.70,15.000,9.883,6.378,3.935,1.145,0.370,0.345,1.315,3.056,5.644,9.099,13.327,15.000,15.000,15.000
5.80,15.000,11.116,7.453,4.802,1.917,0.755,0.256,0.628,1.669,3.429,5.921,9.032,12.178,15.000,15.000
5.90,15.000,12.512,8.697,5.855,2.857,1.361,0.466,0.347,0.821,1.907,3.604,5.805,7.971,15.000,15.000
6.00,15.000,14.077,10.112,7.092,3.969,2.178,0.945,0.417,0.424,0.958,1.997,3.455,4.820,15.000,15.000
6.10,15.000,15.000,11.709,8.522,5.266,3.210,1.680,0.805,0.419,0.496,0.984,1.835,2.539,12.072,15.000
6.20,15.000,15.000,13.557,10.213,6.818,4.520,2.725,1.547,0.822,0.512,0.537,0.885,1.042,8.450,15.000
6.30,15.000,15.000,15.000,12.284,8.748,6.226,4.189,2.742,1.718,1.076,0.705,0.632,0.333,6.028,12.853
